,缺失率,重复率
﻿FN,0.9979296066252588,0.0
VR,0.9979296066252588,0.0
PT,0.0,0.0
AU,0.0,0.0
AF,0.0,0.0
TI,0.0,0.0
SO,0.0,0.0
LA,0.0,0.0
DT,0.0,0.0
DE,0.039337474120082816,0.0
ID,0.2608695652173913,0.0
AB,0.004140786749482402,0.0
C1,0.0,0.0
C3,0.051759834368530024,0.0
RP,0.0,0.0
EM,0.039337474120082816,0.0
RI,0.19254658385093168,0.0
OI,0.2774327122153209,0.0
FU,0.4409937888198758,0.0
FX,0.43685300207039335,0.0
CR,0.0,0.0
NR,0.0,0.0
TC,0.0,0.0
Z9,0.0,0.0
U1,0.0,0.0
U2,0.0,0.0
PU,0.0,0.0
PI,0.0,0.0
PA,0.0,0.0
SN,0.2070393374741201,0.0
EI,0.3064182194616977,0.0
J9,0.057971014492753624,0.0
JI,0.23809523809523808,0.0
PD,0.34782608695652173,0.0
PY,0.0,0.0
VL,0.21325051759834368,0.0
IS,0.5838509316770186,0.0
BP,0.577639751552795,0.0
EP,0.577639751552795,0.0
DI,0.002070393374741201,0.0
PG,0.0,0.0
WC,0.002070393374741201,0.0
WE,0.0,0.0
SC,0.002070393374741201,0.0
GA,0.0,0.0
UT,0.0,0.0
OA,0.6066252587991718,0.0
DA,0.0,0.0
BE,0.937888198757764,0.0
SE,0.8198757763975155,0.0
CT,0.7556935817805382,0.0
CY,0.7556935817805382,0.0
CL,0.7556935817805382,0.0
BN,0.7639751552795031,0.0
GP,0.8240165631469979,0.0
HO,0.9523809523809523,0.0
AR,0.5196687370600414,0.0
EA,0.6853002070393375,0.0
SP,0.8178053830227743,0.0
PM,0.7267080745341615,0.0
PN,0.9337474120082816,0.0
SU,0.9937888198757764,0.0
SI,0.9875776397515528,0.0
